"id";"idade";"escolaridade";"estado_civil";"renda";"criancas_casa";"adolescentes_casa";"data_inscricao";"dias_ultima_compra";"gasto_vinhos";"gasto_frutas";"gasto_carnes";"gasto_peixes";"gasto_doces";"gastos_premium";"compras_desconto";"compras_site";"compras_catalogo";"compras_loja";"visitas_mes_site";"reclamacao";"campanha1";"campanha2";"campanha3";"campanha4";"campanha5";"campanha6"
8180;62;"Mestrado";"Divorciado";59354;1;1;"2013-11-15";53;233;2;53;3;5;14;3;6;1;5;6;0;0;0;0;0;0;0
2569;27;"Graduacao";"Casado";17323;0;0;"2012-10-10";38;3;14;17;6;1;5;1;1;0;3;8;0;0;0;0;0;0;0
2114;68;"Doutorado";"Solteiro";82800;0;0;"2012-11-24";23;1006;22;115;59;68;45;1;7;6;12;3;0;1;0;0;0;1;1
9736;34;"Graduacao";"Casado";41850;1;1;"2012-12-24";51;53;5;19;2;13;4;3;3;0;3;8;0;0;0;0;0;0;0
4939;68;"Graduacao";"Casado";37760;0;0;"2012-08-31";20;84;5;38;150;12;28;2;4;1;6;7;0;0;0;0;0;0;0
6565;65;"Mestrado";"Casado";76995;0;1;"2013-03-28";91;1012;80;498;0;16;176;2;11;4;9;5;0;1;0;0;0;0;0
2278;29;"Ensino Medio";"Solteiro";33812;1;0;"2012-11-03";86;4;17;19;30;24;39;2;2;1;3;6;0;0;0;0;0;0;0
9360;32;"Graduacao";"Casado";37040;0;0;"2012-08-08";41;86;2;73;69;38;48;1;4;2;5;8;0;0;0;0;0;0;0
5376;35;"Graduacao";"Casado";2447;1;0;"2013-01-06";42;1;1;1725;1;1;1;15;0;28;0;1;0;0;0;0;0;0;0
1993;65;"Doutorado";"Casado";58607;0;1;"2012-12-23";63;867;0;86;0;0;19;3;2;3;9;8;0;0;0;0;1;0;0
4047;60;"Doutorado";"Casado";65324;0;1;"2014-01-11";0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;0
1409;63;"Graduacao";"Casado";40689;0;1;"2013-03-18";69;270;3;27;39;6;99;7;7;1;5;8;0;0;0;0;0;0;0
7892;45;"Graduacao";"Solteiro";18589;0;0;"2013-01-02";89;6;4;25;15;12;13;2;2;1;3;7;0;0;0;0;0;0;0
2404;38;"Graduacao";"Casado";53359;1;1;"2013-05-27";4;173;4;30;3;6;41;4;5;1;4;7;0;0;0;0;0;0;0
9422;25;"Graduacao";"Casado";38360;1;0;"2013-05-31";26;36;2;42;20;21;10;2;2;1;4;3;0;0;0;0;0;0;0
1966;49;"Doutorado";"Casado";84618;0;0;"2013-11-22";96;684;100;801;21;66;0;1;6;9;10;2;0;0;0;0;0;1;0
6864;25;"Mestrado";"Divorciado";10979;0;0;"2014-05-22";34;8;4;10;2;2;4;2;3;0;3;5;0;0;0;0;0;0;0
3033;51;"Mestrado";"Casado";38620;0;0;"2013-05-11";56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0
5710;44;"Graduacao";"Casado";40548;0;1;"2012-10-10";31;110;0;5;2;0;3;2;2;1;4;5;0;0;0;0;1;0;0
7373;62;"Doutorado";"Divorciado";46610;0;2;"2012-10-29";8;96;12;96;33;22;43;6;4;1;6;6;0;0;0;0;0;0;1
8755;68;"Mestrado";"Casado";68657;0;0;"2013-02-20";4;482;34;471;119;68;22;1;3;5;9;7;0;0;0;0;0;0;0
10738;63;"Mestrado";"Solteiro";49389;1;1;"2013-08-29";55;40;0;19;2;1;3;1;2;0;3;7;0;0;0;0;0;0;0
4339;44;"Doutorado";"Casado";67353;0;1;"2013-12-31";37;702;17;151;0;8;35;5;5;6;12;2;0;0;0;0;0;0;0
10755;38;"Ensino Medio";"Casado";23718;1;0;"2013-09-02";76;6;3;14;15;7;36;3;3;1;2;7;0;0;0;0;0;0;0
8595;41;"Graduacao";"Viuvo";42429;0;1;"2014-02-11";99;55;0;6;2;0;4;2;1;1;3;5;0;0;0;0;0;0;0
2968;71;"Doutorado";"Divorciado";48948;0;0;"2013-02-01";53;437;8;206;160;49;42;2;7;10;5;6;0;0;0;1;0;0;1
8601;34;"Graduacao";"Casado";80011;0;1;"2013-04-29";3;421;76;536;82;178;102;2;8;6;5;4;0;0;0;0;0;0;0
503;29;"Mestrado";"Casado";20559;1;0;"2013-03-12";88;13;1;29;3;0;7;2;2;0;3;8;0;0;0;0;0;0;0
8430;57;"Graduacao";"Casado";21994;0;1;"2012-12-24";4;9;0;6;3;1;3;1;0;0;3;5;0;0;0;0;0;0;0
2139;39;"Mestrado";"Casado";7500;1;0;"2013-10-02";19;3;1;10;3;2;12;3;2;0;3;5;0;0;0;0;0;0;0
1371;38;"Graduacao";"Solteiro";79941;0;0;"2014-06-28";72;123;164;266;227;30;174;1;2;4;9;1;0;0;0;0;0;0;0
9909;18;"Ensino Medio";"Casado";7500;0;0;"2012-11-09";24;3;18;14;15;22;50;3;3;1;3;9;0;0;0;0;0;0;1
7286;46;"Graduacao";"Casado";41728;1;0;"2013-05-24";92;13;6;15;3;5;13;1;2;0;2;10;0;0;0;0;0;0;0
6566;60;"Doutorado";"Casado";72550;1;1;"2012-11-08";39;826;50;317;50;38;38;9;5;2;12;8;0;0;0;0;0;0;0
8614;57;"Graduacao";"Viuvo";65486;0;1;"2014-05-12";29;245;19;125;37;67;14;1;4;2;10;2;0;0;0;0;0;0;0
4114;50;"Mestrado";"Casado";79143;0;0;"2012-08-11";2;650;37;780;27;167;32;1;6;9;13;3;0;0;0;0;0;0;0
1331;37;"Graduacao";"Solteiro";35790;1;0;"2013-01-02";54;12;6;20;30;1;3;2;2;0;3;7;0;0;0;0;0;0;0
2225;37;"Graduacao";"Divorciado";82582;0;0;"2014-06-07";54;510;120;550;156;40;241;1;4;9;7;1;0;1;0;1;0;0;1
9381;36;"Graduacao";"Casado";66373;1;1;"2013-06-12";57;328;9;124;12;24;109;7;4;2;10;3;0;0;0;0;0;0;0
6260;59;"Mestrado";"Casado";82384;0;0;"2012-11-19";55;984;51;432;180;120;190;1;3;10;13;1;0;0;0;0;0;1;1
10383;48;"Graduacao";"Divorciado";70287;0;0;"2013-04-02";30;295;35;482;121;120;40;1;5;5;10;3;0;0;0;0;0;0;1
7437;26;"Graduacao";"Solteiro";27938;1;0;"2014-04-28";31;13;0;8;2;1;5;1;1;0;4;3;0;0;0;0;0;0;0
8375;46;"Doutorado";"Casado";55954;0;1;"2014-03-03";63;447;0;28;0;0;43;3;8;2;6;7;0;0;0;0;0;0;0
6853;32;"Mestrado";"Solteiro";75777;0;0;"2013-07-04";12;712;26;538;69;13;80;1;3;6;11;1;0;0;0;0;1;1;1
3076;39;"Graduacao";"Casado";66653;1;1;"2012-09-07";18;452;18;102;16;18;6;4;4;2;12;3;0;0;0;0;0;0;0
1012;62;"Graduacao";"Solteiro";61823;0;1;"2013-02-18";26;523;7;134;37;14;169;4;8;2;10;7;0;0;0;0;0;0;0
6518;63;"Doutorado";"Viuvo";67680;0;1;"2013-06-11";8;546;0;48;0;6;6;1;7;3;8;5;0;0;0;0;0;0;0
4137;66;"Graduacao";"Casado";70666;0;0;"2013-12-06";29;398;40;367;119;122;30;1;7;4;4;4;0;0;0;0;0;0;0
8082;43;"Graduacao";"Casado";25721;1;0;"2013-05-21";75;1;3;6;3;6;15;1;1;1;2;7;0;0;0;0;0;0;1
1386;47;"Graduacao";"Casado";32474;1;1;"2014-05-11";0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;0
9369;35;"Ensino Medio";"Solteiro";88194;0;1;"2014-03-19";19;688;14;309;201;24;38;1;11;10;10;5;0;1;0;1;0;0;1
4477;56;"Graduacao";"Casado";69096;0;1;"2013-09-27";4;247;49;159;7;82;109;1;5;2;10;4;0;0;0;0;0;0;0
1357;44;"Graduacao";"Casado";74854;1;2;"2013-04-08";90;856;59;487;58;29;73;7;2;5;5;5;0;0;0;0;0;0;0
1402;60;"Mestrado";"Casado";66991;0;0;"2012-09-11";1;496;36;460;189;60;12;3;4;8;6;3;0;0;0;0;0;0;0
6312;55;"Graduacao";"Casado";65031;0;1;"2013-03-17";29;258;107;291;84;37;86;4;10;3;13;7;0;0;0;0;0;0;0
8132;39;"Doutorado";"Casado";60631;1;1;"2013-04-05";88;565;6;65;0;6;19;5;9;2;8;7;0;0;0;0;1;0;0
1050;62;"Graduacao";"Casado";28332;0;0;"2014-04-30";58;14;10;13;4;15;9;1;2;1;4;2;0;0;0;0;0;0;0
5846;37;"Graduacao";"Divorciado";40246;1;0;"2012-12-19";68;2;1;6;2;1;1;1;1;0;2;6;0;0;0;0;0;0;0
1859;42;"Mestrado";"Casado";75251;0;0;"2012-08-27";34;721;111;925;97;18;18;1;7;6;5;5;0;0;0;0;0;0;1
7503;38;"Graduacao";"Solteiro";75825;0;0;"2012-10-12";40;1032;105;779;137;105;51;0;5;8;9;4;0;0;0;1;0;0;1
10401;38;"Ensino Medio";"Casado";26326;0;0;"2013-09-04";12;1;0;5;0;3;9;1;0;0;3;3;1;0;0;0;0;0;0
1618;49;"Graduacao";"Casado";56046;0;0;"2013-01-02";9;577;0;64;0;0;51;2;10;1;8;8;0;0;0;1;0;0;1
3332;29;"Graduacao";"Solteiro";29760;1;0;"2012-08-29";87;64;4;68;7;5;17;4;3;1;4;8;0;0;0;0;0;0;0
2261;45;"Graduacao";"Casado";26304;1;0;"2013-06-23";5;4;1;5;2;0;4;1;1;0;2;7;0;0;0;0;0;0;0
5346;41;"Ensino Medio";"Casado";23559;1;0;"2013-07-03";87;25;5;19;7;0;23;3;3;0;3;7;0;0;0;0;0;0;0
4119;51;"Mestrado";"Casado";38620;0;0;"2013-05-11";56;112;17;44;34;22;89;1;2;5;3;3;0;0;0;0;0;0;0
535;27;"Graduacao";"Divorciado";81361;0;0;"2014-02-25";18;163;23;424;27;65;76;1;3;10;13;1;0;0;0;0;0;0;0
5268;54;"Graduacao";"Casado";29440;1;1;"2013-08-11";95;17;8;14;10;4;3;2;1;0;4;7;0;0;0;0;0;0;0
273;44;"Mestrado";"Casado";36138;1;1;"2013-07-16";48;130;0;16;0;0;5;5;3;1;4;7;0;0;0;0;1;0;0
4452;57;"Graduacao";"Solteiro";50388;0;1;"2014-05-28";3;292;6;37;0;3;34;4;6;1;6;7;0;1;0;0;1;0;1
8504;41;"Graduacao";"Casado";79593;0;0;"2014-05-12";70;350;60;568;110;133;145;1;5;6;7;2;0;0;0;0;0;1;0
771;47;"Graduacao";"Casado";54178;0;1;"2014-01-21";79;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;0
11178;42;"Mestrado";"Solteiro";42394;1;0;"2014-03-23";69;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;0
2230;44;"Doutorado";"Casado";23626;1;0;"2014-05-24";84;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;0
7516;31;"Graduacao";"Casado";30096;1;0;"2014-05-22";30;5;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0
7247;54;"Graduacao";"Viuvo";47916;0;1;"2012-11-22";72;505;0;26;0;0;75;5;7;4;6;6;0;0;0;0;1;0;0
11100;42;"Graduacao";"Divorciado";51813;1;1;"2013-04-11";37;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;0
4646;63;"Ensino Medio";"Casado";78497;0;0;"2013-12-01";44;207;26;447;75;0;223;1;5;7;12;2;0;1;0;0;0;0;0
3037;31;"Doutorado";"Casado";50150;0;0;"2013-06-20";32;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;0
1473;54;"Ensino Medio";"Solteiro";47823;0;1;"2013-07-23";0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;0
1016;55;"Doutorado";"Solteiro";34554;0;1;"2014-03-30";43;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;0
4518;35;"Graduacao";"Casado";85693;0;1;"2013-04-20";59;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;0
9370;69;"Doutorado";"Casado";65846;0;0;"2013-05-17";68;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;0
8908;55;"Graduacao";"Casado";87195;0;0;"2014-05-08";35;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;0;1
8373;35;"Ensino Basico";"Casado";24594;1;0;"2013-12-10";94;1;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;0
7533;50;"Graduacao";"Casado";49096;1;1;"2013-09-24";15;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;0
2683;45;"Graduacao";"Casado";52413;0;2;"2013-02-02";56;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;0;0
3629;36;"Graduacao";"Solteiro";38557;1;0;"2012-12-19";17;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;0
10991;54;"Mestrado";"Casado";89058;0;0;"2012-12-07";18;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;0
5077;35;"Graduacao";"Casado";77298;0;1;"2013-11-02";46;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;0
7431;23;"Doutorado";"Solteiro";68126;0;0;"2012-11-10";40;1332;17;311;23;51;86;1;7;4;5;9;0;0;0;0;1;0;1
3267;51;"Mestrado";"Casado";57288;0;1;"2014-06-25";27;527;0;21;0;0;60;3;8;1;8;6;0;0;0;0;1;0;0
999;23;"Graduacao";"Solteiro";86037;0;0;"2013-01-02";95;490;44;125;29;20;22;1;6;7;11;3;0;0;0;0;1;1;1
9215;34;"Doutorado";"Casado";43974;1;0;"2012-12-12";19;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;0
2286;52;"Graduacao";"Solteiro";50785;1;1;"2013-09-10";27;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;0
1592;44;"Graduacao";"Casado";90765;0;0;"2014-01-24";25;547;99;812;151;82;33;0;4;6;5;1;0;1;0;0;0;1;0
367;36;"Ensino Medio";"Casado";36550;1;0;"2013-02-19";74;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;0;0
5234;47;"Ensino Medio";"Casado";30753;1;1;"2013-07-11";85;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;0
9862;45;"Graduacao";"Casado";21918;1;0;"2013-11-14";37;1;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;0
9805;61;"Mestrado";"Casado";56129;0;1;"2013-06-20";65;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0
6205;47;"Mestrado";"Solteiro";32557;1;0;"2014-02-24";13;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;1
8442;29;"Mestrado";"Casado";19510;2;0;"2013-09-04";63;9;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;0
7386;38;"Graduacao";"Divorciado";30992;1;0;"2013-04-22";83;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;0
7215;31;"Graduacao";"Solteiro";101970;0;0;"2013-03-12";69;722;27;102;44;72;168;0;6;8;13;2;0;1;0;0;1;1;1
1491;49;"Ensino Medio";"Casado";71488;0;0;"2013-02-18";87;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;0;0
11071;30;"Graduacao";"Solteiro";79607;0;0;"2013-04-21";37;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;1
3381;61;"Mestrado";"Casado";54348;1;1;"2014-06-08";51;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;0
11051;58;"Doutorado";"Casado";77376;1;1;"2014-05-10";72;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;0
8026;62;"Graduacao";"Casado";62998;0;1;"2013-09-30";10;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;0;0
433;56;"Mestrado";"Solteiro";61331;1;1;"2013-03-10";42;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;0
9597;45;"Graduacao";"Casado";73448;0;0;"2014-02-10";10;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;0;0
5290;50;"Doutorado";"Casado";41551;1;1;"2013-08-14";51;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;0
1685;47;"Doutorado";"Casado";62981;0;0;"2013-03-17";21;796;14;590;38;44;0;1;4;5;13;3;0;0;0;0;1;0;0
5342;38;"Ensino Basico";"Divorciado";9548;1;0;"2012-08-08";31;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;0
9579;55;"Doutorado";"Casado";33762;2;1;"2013-07-07";61;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;0
7660;41;"Doutorado";"Solteiro";35860;1;1;"2014-05-19";37;15;0;8;4;2;20;2;1;1;2;5;0;0;0;1;0;0;1
1461;49;"Doutorado";"Divorciado";36921;1;1;"2013-07-28";74;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;0
821;22;"Mestrado";"Solteiro";92859;0;0;"2012-10-19";46;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;0
11084;38;"Mestrado";"Casado";65104;0;1;"2013-11-14";4;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;1
8690;52;"Graduacao";"Casado";86111;0;0;"2013-04-19";73;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;0;0
2937;40;"Doutorado";"Solteiro";68352;0;1;"2013-08-28";47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;0
9701;26;"Graduacao";"Casado";41883;1;0;"2013-03-19";13;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;0
9949;38;"Graduacao";"Casado";59809;0;2;"2012-10-18";36;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;0
10837;39;"Graduacao";"Casado";23957;1;0;"2012-10-28";47;2;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;1
3120;33;"Graduacao";"Casado";38547;1;0;"2013-08-28";49;6;1;10;0;1;4;1;1;0;2;8;1;0;0;0;0;0;0
5885;41;"Ensino Medio";"Casado";35688;2;1;"2012-08-22";94;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;0;0
4050;48;"Mestrado";"Casado";49605;0;0;"2014-06-21";65;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;0
3830;61;"Mestrado";"Casado";59354;0;2;"2014-04-24";59;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;0
7987;45;"Graduacao";"Casado";65747;0;1;"2014-03-07";96;346;17;48;23;13;13;4;8;1;6;6;0;0;0;0;1;0;0
7798;42;"Ensino Medio";"Casado";46344;0;1;"2012-12-14";28;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;0
92;26;"Graduacao";"Solteiro";34176;1;0;"2014-05-12";12;5;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;0
7055;62;"Doutorado";"Casado";61010;0;1;"2012-10-09";57;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;0
10240;65;"Graduacao";"Casado";69372;0;0;"2013-02-19";10;997;26;269;34;13;42;1;10;4;6;4;0;0;0;0;1;1;1
3025;56;"Graduacao";"Solteiro";49967;0;1;"2013-07-08";4;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;0
9283;36;"Graduacao";"Solteiro";60199;1;2;"2013-09-12";49;8;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0
9970;37;"Graduacao";"Casado";55375;0;1;"2013-10-17";3;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;0
2730;59;"Graduacao";"Solteiro";80317;0;0;"2013-08-20";64;536;11;387;149;91;57;1;3;4;10;1;0;0;0;0;0;0;0
2795;56;"Mestrado";"Solteiro";30523;2;1;"2013-07-01";0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;0
9260;69;"Doutorado";"Casado";70356;0;0;"2012-11-05";20;1349;16;249;43;16;33;2;10;6;9;6;0;0;0;0;0;0;0
8182;30;"Graduacao";"Casado";23228;1;0;"2014-01-05";91;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;0
10095;39;"Doutorado";"Divorciado";74165;0;0;"2013-05-01";9;1001;12;240;16;12;12;1;5;4;10;2;0;0;0;0;0;0;0
8475;41;"Doutorado";"Casado";157243;0;1;"2014-03-01";98;20;2;1582;1;2;1;15;0;22;0;0;0;0;0;0;0;0;0
4370;48;"Graduacao";"Casado";43482;2;1;"2013-11-13";83;18;1;32;6;3;28;3;2;0;4;6;0;0;0;0;0;0;0
10573;61;"Graduacao";"Divorciado";62551;0;0;"2013-11-18";27;125;16;98;134;21;27;1;6;7;4;3;0;0;0;1;0;0;0
3712;55;"Graduacao";"Divorciado";52332;0;0;"2013-08-28";63;212;5;33;7;0;2;1;3;2;6;4;0;0;0;0;1;0;0
6637;26;"Graduacao";"Solteiro";66951;0;0;"2013-11-02";46;277;162;305;173;76;124;1;3;4;7;1;0;0;0;0;0;0;0
3152;57;"Graduacao";"Casado";26091;1;1;"2014-02-25";84;15;10;19;8;17;20;3;2;1;3;5;0;0;0;0;0;0;0
5610;49;"Graduacao";"Casado";33456;1;1;"2014-04-21";58;7;3;10;8;1;7;2;1;0;3;7;0;0;0;0;0;0;0
6460;32;"Graduacao";"Casado";28718;1;0;"2013-07-13";78;12;4;6;11;8;16;2;2;0;3;8;0;0;0;0;0;0;0
1349;44;"Graduacao";"Casado";50447;2;0;"2014-04-21";4;85;7;24;2;3;27;1;3;1;3;6;0;0;0;0;0;0;0
1880;55;"Doutorado";"Casado";53537;1;1;"2014-01-30";17;81;0;6;0;0;6;2;2;1;3;5;0;0;0;0;0;0;0
641;47;"Graduacao";"Solteiro";52074;0;1;"2014-04-04";77;59;0;12;0;0;48;1;2;2;2;4;0;0;0;1;0;0;0
8717;39;"Doutorado";"Casado";80427;0;1;"2012-09-12";56;1149;71;449;69;71;26;1;11;8;8;5;0;0;0;0;0;0;0
10314;66;"Doutorado";"Casado";83837;0;0;"2012-12-16";79;847;66;119;86;89;111;1;9;10;5;4;0;1;0;0;1;0;1
10854;44;"Doutorado";"Casado";38853;1;1;"2014-05-23";90;29;0;14;0;0;2;2;2;0;3;7;0;0;0;0;0;0;0
10492;55;"Graduacao";"Casado";38285;2;1;"2014-06-24";96;2;0;5;2;0;1;1;0;0;3;2;0;0;0;0;0;0;0
6935;63;"Ensino Medio";"Casado";78497;0;0;"2013-12-01";44;207;26;447;75;0;223;1;5;7;12;2;0;1;0;0;0;0;0
7698;38;"Doutorado";"Casado";51650;0;1;"2014-05-11";81;152;3;22;2;5;7;1;4;1;4;5;0;0;0;0;0;0;0
3559;26;"Ensino Medio";"Casado";16248;1;0;"2014-05-10";77;12;11;10;3;12;9;3;2;1;3;6;0;0;0;0;0;0;0
10562;68;"Mestrado";"Casado";66835;0;0;"2013-09-28";21;620;26;195;34;17;141;1;6;4;13;2;0;0;0;0;0;0;0
10796;30;"Mestrado";"Casado";30477;1;0;"2014-01-22";16;47;1;6;0;0;12;1;1;1;3;6;0;0;0;0;0;0;0
2563;53;"Ensino Basico";"Casado";28249;0;0;"2014-06-15";80;1;9;7;2;14;10;1;2;0;3;6;0;0;0;0;0;0;0
3518;31;"Graduacao";"Casado";25271;1;0;"2012-12-05";45;10;1;18;10;4;7;1;1;1;2;9;0;0;0;0;0;0;0
5823;44;"Doutorado";"Solteiro";32303;0;1;"2014-03-08";63;35;0;2;0;0;2;2;1;0;4;5;0;0;0;0;0;0;0
3934;48;"Graduacao";"Casado";61286;0;1;"2013-08-02";34;356;0;107;19;9;117;2;7;1;8;5;0;0;0;0;0;0;0
6982;38;"Graduacao";"Casado";74068;0;0;"2013-03-19";14;783;30;537;140;76;15;1;4;10;9;2;0;0;0;0;0;0;0
6431;50;"Doutorado";"Casado";45759;1;1;"2013-02-23";13;42;1;18;3;0;4;2;2;0;3;7;0;0;0;0;0;0;0
9733;36;"Ensino Basico";"Casado";24882;1;0;"2012-09-09";52;1;4;10;29;0;36;1;1;1;2;6;0;0;0;1;0;0;0
5602;25;"Doutorado";"Casado";66973;0;0;"2013-05-17";98;466;22;432;147;113;102;1;8;7;12;3;0;0;0;0;0;0;0
7829;45;"Ensino Medio";"Divorciado";36640;1;0;"2013-09-26";99;15;6;8;7;4;25;1;2;1;2;5;1;0;0;0;0;0;0
1324;26;"Graduacao";"Casado";38872;1;0;"2013-05-30";93;23;3;21;3;19;22;2;3;0;3;8;0;0;0;0;0;0;0
326;41;"Graduacao";"Casado";51148;1;1;"2013-02-18";38;235;6;45;8;9;12;4;5;1;6;6;0;0;0;0;0;0;0
7224;37;"Graduacao";"Casado";31353;1;1;"2013-12-29";24;10;0;10;3;1;7;2;1;1;2;8;0;0;0;0;0;0;0
6999;34;"Mestrado";"Casado";69661;0;0;"2014-05-13";80;656;16;106;32;16;8;1;7;3;12;3;0;0;0;0;0;0;0
9938;60;"Graduacao";"Casado";80067;0;0;"2013-09-19";82;519;17;813;27;173;51;1;4;6;6;2;0;0;0;0;0;1;0
6422;60;"Graduacao";"Casado";86718;0;0;"2013-01-17";20;344;189;482;50;33;172;1;5;6;5;2;0;0;0;0;0;0;0
3182;41;"Doutorado";"Solteiro";46854;1;1;"2014-03-31";81;96;1;79;7;1;79;6;5;1;3;8;0;0;0;1;0;0;1
7300;62;"Graduacao";"Divorciado";69142;0;1;"2014-06-29";50;448;4;34;6;4;39;3;8;1;7;5;0;0;0;0;1;0;0
10424;46;"Graduacao";"Solteiro";75922;0;0;"2013-12-09";60;265;138;553;224;23;92;1;4;4;9;1;0;0;0;0;0;0;0
